curr_rate,balls_left,wickets_in_hand,rem_rate
12,119,10,10.68907563
6,118,10,10.77966102
6,117,10,10.82051282
6,116,10,10.86206897
12,115,10,10.64347826
10,114,9,10.73684211
8.571428571,113,9,10.83185841
10.5,112,9,10.71428571
13.33333333,111,9,10.48648649
12.6,110,9,10.52727273
11.45454545,109,8,10.62385321
11,108,8,10.66666667
10.15384615,107,8,10.76635514
9.428571429,106,8,10.86792453
9.2,105,8,10.91428571
9.375,104,8,10.90384615
8.823529412,103,8,11.00970874
8.666666667,102,8,11.05882353
9.473684211,101,8,10.93069307
9.789473684,101,8,10.87128713
11.1,100,8,10.62
11.71428571,99,8,10.48484848
12.27272727,98,8,10.34693878
11.73913043,97,8,10.45360825
12,97,8,10.39175258
11.5,96,7,10.5
12,95,7,10.35789474
11.76923077,94,7,10.40425532
11.33333333,93,7,10.51612903
10.92857143,92,7,10.63043478
10.96551724,91,7,10.61538462
10.8,90,7,10.66666667
10.4516129,89,6,10.78651685
10.3125,88,6,10.84090909
10.18181818,87,6,10.89655172
10.05882353,86,6,10.95348837
9.771428571,85,6,11.08235294
9.666666667,84,6,11.14285714
9.567567568,83,6,11.20481928
9.473684211,82,6,11.26829268
9.384615385,81,6,11.33333333
9.3,80,6,11.4
9.219512195,79,6,11.46835443
9.142857143,78,6,11.53846154
8.930232558,77,6,11.68831169
8.863636364,76,6,11.76315789
9.2,75,6,11.6
9.130434783,74,6,11.67567568
9.063829787,73,6,11.75342466
9,72,6,11.83333333
8.93877551,71,6,11.91549296
8.76,70,6,12.08571429
8.705882353,69,6,12.17391304
9,68,6,12
8.830188679,67,6,12.17910448
8.777777778,66,6,12.27272727
9.054545455,65,6,12.09230769
9,64,6,12.1875
8.947368421,63,6,12.28571429
8.896551724,62,6,12.38709677
8.847457627,61,6,12.49180328
8.9,60,6,12.5
8.852459016,59,6,12.61016949
8.806451613,58,6,12.72413793
8.761904762,57,6,12.84210526
8.625,56,6,13.07142857
8.492307692,55,6,13.30909091
8.545454545,54,6,13.33333333
8.955223881,53,6,12.90566038
8.823529412,52,6,13.15384615
9.043478261,51,6,12.94117647
9.257142857,50,6,12.72
9.126760563,49,6,12.97959184
9.083333333,48,6,13.125
8.95890411,47,6,13.40425532
8.918918919,46,6,13.56521739
9.12,45,6,13.33333333
9.078947368,44,6,13.5
9.038961039,43,6,13.6744186
9,42,6,13.85714286
9.037974684,41,6,13.90243902
9.225,40,6,13.65
9.407407407,39,6,13.38461538
