target,curr_rate,runs_required,balls_left,wickets_in_hand,req_rate
184,6,183,119,10,9.226890756
184,9,181,118,10,9.203389831
184,14,177,117,10,9.076923077
184,10.5,177,116,10,9.155172414
184,10.8,175,115,10,9.130434783
184,9,175,114,9,9.210526316
184,7.714285714,175,113,9,9.292035398
184,9.75,171,112,9,9.160714286
184,8.666666667,171,111,9,9.243243243
184,8.4,170,110,9,9.272727273
184,9.818181818,166,109,9,9.137614679
184,9,166,108,9,9.222222222
184,9.230769231,164,107,9,9.196261682
184,8.571428571,164,106,9,9.283018868
184,8,164,105,9,9.371428571
184,7.875,163,104,9,9.403846154
184,7.764705882,162,103,9,9.436893204
184,7.666666667,161,102,9,9.470588235
184,7.578947368,160,101,9,9.504950495
184,7.2,160,100,9,9.6
184,7.142857143,159,99,9,9.636363636
184,7.909090909,155,98,9,9.489795918
184,7.826086957,154,97,9,9.525773196
184,7.5,154,96,9,9.625
184,7.44,153,95,9,9.663157895
184,7.384615385,152,94,9,9.70212766
184,7.111111111,152,93,9,9.806451613
184,7.714285714,148,92,9,9.652173913
184,8.275862069,144,91,9,9.494505495
184,8.8,140,90,9,9.333333333
184,8.516129032,140,89,8,9.438202247
184,8.25,140,88,8,9.545454545
184,8,140,87,8,9.655172414
184,7.764705882,140,86,8,9.76744186
184,7.714285714,139,85,8,9.811764706
184,7.666666667,138,84,8,9.857142857
184,7.621621622,137,83,8,9.903614458
184,7.578947368,136,82,8,9.951219512
184,7.692307692,134,81,8,9.925925926
184,7.65,133,80,8,9.975
184,7.463414634,133,79,8,10.10126582
184,7.285714286,133,78,8,10.23076923
184,7.255813953,132,77,8,10.28571429
184,7.227272727,131,76,8,10.34210526
184,7.2,130,75,8,10.4
184,7.043478261,130,74,8,10.54054054
184,6.893617021,130,73,8,10.68493151
184,7,128,72,8,10.66666667
184,6.857142857,128,71,8,10.81690141
184,7.44,122,70,8,10.45714286
184,8,116,69,8,10.08695652
184,7.846153846,116,68,8,10.23529412
184,7.811320755,115,67,8,10.29850746
184,7.777777778,114,66,8,10.36363636
184,8.072727273,110,65,8,10.15384615
184,8.142857143,108,64,8,10.125
184,8.105263158,107,63,8,10.19047619
184,8.068965517,106,62,8,10.25806452
184,8.033898305,105,61,8,10.32786885
184,8,104,60,8,10.4
184,7.967213115,103,59,8,10.47457627
184,7.935483871,102,58,8,10.55172414
184,7.904761905,101,57,8,10.63157895
184,7.875,100,56,8,10.71428571
184,8.307692308,94,55,8,10.25454545
184,8.272727273,93,54,8,10.33333333
184,8.149253731,93,53,8,10.52830189
184,8.558823529,87,52,8,10.03846154
184,8.52173913,86,51,8,10.11764706
184,8.657142857,83,50,8,9.96
184,8.704225352,81,49,8,9.918367347
184,8.75,79,48,8,9.875
184,8.95890411,75,47,8,9.574468085
184,9.324324324,69,46,8,9
184,9.76,62,45,8,8.266666667
184,9.631578947,62,44,8,8.454545455
184,9.974025974,56,43,8,7.813953488
184,9.846153846,56,42,7,8
184,9.797468354,55,41,7,8.048780488
184,9.975,51,40,7,7.65
184,9.925925926,50,39,7,7.692307692
184,9.87804878,49,38,7,7.736842105
184,9.759036145,49,37,7,7.945945946
184,9.714285714,48,36,7,8
184,10.23529412,39,35,7,6.685714286
184,10.3255814,36,34,7,6.352941176
184,10.27586207,35,33,7,6.363636364
184,10.29545455,33,32,7,6.1875
184,10.24719101,32,31,7,6.193548387
184,10.2,31,30,7,6.2
184,10.21978022,29,29,7,6
184,10.5,23,28,7,4.928571429
184,10.64516129,19,27,7,4.222222222
184,10.78723404,15,26,7,3.461538462
184,10.92631579,11,25,7,2.64
184,10.9375,9,24,7,2.25
184,10.88659794,8,23,7,2.086956522
184,10.83673469,7,22,7,1.909090909
184,10.78787879,6,21,7,1.714285714
184,10.68,6,20,7,1.8
184,10.81188119,2,19,7,0.631578947
184,10.70588235,2,18,7,0.666666667
